isin,Basic Materials,Consumer Discretionary,Consumer Staples,Corporate,Covered,Energy,Financials,Government,Health Care,Industrials,Real Estate,Securitised,Technology,Telecommunication,Utilities,Liquidity,Supranational,Other
DE000ETFL060,5.16,6.04,0.41,,,,22.19,,6.54,36.02,,,13.79,5.37,4.47,,,0.02
DE000ETFL078,,7.9,4.02,,,7.36,53.95,,2.79,15.76,,,,2.4,5.5,,,0.33
DE000ETFL094,1.73,4.85,9.37,,,2.32,12.82,,8.92,8.06,,,48.16,0.94,1.41,,,1.54
DE000ETFL110,,,,,,,,100.0,,,,,,,,,,
DE000ETFL128,,,,,,,,100.0,,,,,,,,,,
DE000ETFL136,,,,,,,,99.75,,,,,,,,,,0.25
DE000ETFL144,,,,,,,,99.73,,,,,,,,,,0.27
DE000ETFL151,,,,,,,,100.0,,,,,,,,,,
DE000ETFL169,,,,,,,,99.91,,,,,,,,,,0.09
DE000ETFL177,,,,,,,,100.0,,,,,,,,,,
DE000ETFL185,,,,,,,,100.0,,,,,,,,,,
DE000ETFL193,,,,,,,,100.0,,,,,,,,,,
DE000ETFL201,,,,,,,,100.0,,,,,,,,,,
DE000ETFL219,,,,,,,,99.67,,,,,,,,,,0.33
DE000ETFL227,,,,,,,,83.19,,,,,,,,,,16.81
DE000ETFL235,8.58,23.72,,,,,26.4,,11.28,26.63,,,3.37,,,,,0.02
DE000ETFL250,2.95,4.95,10.23,,,7.34,23.92,,15.93,16.86,,,12.21,1.39,4.12,,,0.1
DE000ETFL268,2.31,5.28,9.01,,,2.38,13.88,,9.15,9.19,,,44.26,0.88,2.14,,,1.52
DE000ETFL276,6.5,8.38,6.53,,,2.83,21.59,,10.87,17.41,,,16.89,0.47,7.33,,,1.21
DE000ETFL284,5.97,6.01,9.11,,,5.53,26.16,,12.48,17.66,,,10.09,2.13,4.47,,,0.4
DE000ETFL292,8.85,4.84,8.42,,,4.59,27.08,,8.01,23.64,,,3.99,4.0,4.73,,,1.85
DE000ETFL300,5.39,10.84,7.62,,,0.94,21.6,,5.61,19.77,,,22.4,4.69,1.06,,,0.09
DE000ETFL318,1.31,6.93,6.32,,,,24.73,,10.16,16.43,,,28.98,5.04,0.03,,,0.07
